Rang,Club,MJ,G,N,P,BP,BC,DB,Pts,5 derniers
1,Paris Saint Germain,8,7,1,0,26,4,22,22,WWWWD
2,Marseille,8,6,2,0,16,5,11,20,DWWWW
3,Lorient,8,6,1,1,17,12,5,19,WWWWL
4,Lens,8,5,3,0,16,7,9,18,DWDWW
5,Monaco,8,4,2,2,13,12,1,14,WWWLD
6,Lyon,8,4,1,3,16,10,6,13,LLLWW
7,Lille,8,4,1,3,16,16,0,13,WLWLW
8,Rennes,8,3,3,2,14,8,6,12,DWDWL
9,Montpellier,8,4,0,4,19,15,4,12,WLLWW
10,Estac Troyes,8,3,1,4,14,16,-2,10,WLDWW
11,Clermont Foot,8,3,1,4,9,13,-4,10,LDWLL
12,Toulouse,8,2,2,4,9,13,-4,8,LWLLL
13,Nice,8,2,2,4,5,9,-4,8,LWLWL
14,Angers,8,2,2,4,9,18,-9,8,WWLLL
15,Nantes,8,1,4,3,8,11,-3,7,DLLDW
16,Auxerre,8,2,1,5,8,19,-11,7,LLLLW
17,Reims,8,1,3,4,10,17,-7,6,LLDWD
18,Strasbourg,8,0,5,3,6,9,-3,5,LDDDL
19,Stade Brestois 29,8,1,2,5,8,18,-10,5,LLDLL
20,Ajaccio,8,1,1,6,4,11,-7,4,WLLLL
